"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profile\StudentDash.jsx", "JavaScript JSX", 162, 0, 0, 4, 11, 177
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profile\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profilesetting\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 2, 12
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\(pages1)\profilesetting\profilesetting.jsx", "JavaScript JSX", 95, 0, 0, 13, 10, 118
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\TokenRefreshHandler.js", "JavaScript", 0, 0, 15, 1, 6, 22
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\CurriculumTab.jsx", "JavaScript JSX", 257, 0, 0, 0, 21, 278
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\DraggableSection.jsx", "JavaScript JSX", 277, 0, 0, 4, 16, 297
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\Header.jsx", "JavaScript JSX", 14, 0, 0, 1, 1, 16
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\LectureModal.jsx", "JavaScript JSX", 247, 0, 0, 1, 16, 264
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\SidebarNavigation.jsx", "JavaScript JSX", 68, 0, 0, 13, 6, 87
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\analytics.jsx", "JavaScript JSX", 179, 0, 0, 4, 9, 192
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\courseInfo.jsx", "JavaScript JSX", 216, 0, 0, 7, 22, 245
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\index.jsx", "JavaScript JSX", 55, 0, 0, 0, 8, 63
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\studentreq\Studentreq.jsx", "JavaScript JSX", 285, 0, 0, 0, 24, 309
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\ConfirmationModal.jsx", "JavaScript JSX", 32, 0, 0, 0, 2, 34
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\DeleteLessonButton.jsx", "JavaScript JSX", 73, 0, 0, 0, 9, 82
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\PaginationControls.jsx", "JavaScript JSX", 44, 0, 0, 0, 5, 49
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\CourseManagement\ui\TestSectionForm.jsx", "JavaScript JSX", 195, 0, 0, 0, 11, 206
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\components\context\ToastContext.jsx", "JavaScript JSX", 33, 0, 0, 0, 7, 40
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\coursemanage\[id]\page.jsx", "JavaScript JSX", 4, 0, 0, 1, 2, 7
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\Courses.jsx", "JavaScript JSX", 194, 0, 0, 0, 20, 214
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\InstructorDash.jsx", "JavaScript JSX", 125, 0, 0, 7, 11, 143
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\PaginationControls.jsx", "JavaScript JSX", 44, 0, 0, 0, 5, 49
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\Instructor-dash\components\CourseModal.jsx", "JavaScript JSX", 247, 0, 0, 8, 24, 279
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\AdminControl.jsx", "JavaScript JSX", 352, 0, 0, 6, 24, 382
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\InstructorRequests.jsx", "JavaScript JSX", 243, 0, 0, 0, 13, 256
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\admindashboard.jsx", "JavaScript JSX", 161, 0, 0, 7, 13, 181
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\admin-dashboard\status.jsx", "JavaScript JSX", 142, 0, 0, 3, 9, 154
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\components\seperation.jsx", "JavaScript JSX", 63, 0, 0, 4, 7, 74
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\dashboard\page.jsx", "JavaScript JSX", 12, 0, 0, 0, 3, 15
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\global.css", "CSS", 0, 10, 0, 2, 1, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\layout.jsx", "JavaScript JSX", 23, 0, 0, 0, 2, 25
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\teacher\components\teatchersignup.jsx", "JavaScript JSX", 367, 0, 0, 15, 31, 413
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(Allpages)\teacher\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\forgotpassword\components\ForgotPassword.jsx", "JavaScript JSX", 68, 0, 0, 2, 9, 79
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\forgotpassword\page.jsx", "JavaScript JSX", 11, 0, 0, 0, 3, 14
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\global.css", "CSS", 0, 10, 0, 1, 1, 12
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\layout.jsx", "JavaScript JSX", 66, 0, 0, 2, 4, 72
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\Dropdown.jsx", "JavaScript JSX", 24, 0, 0, 0, 3, 27
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\layout.jsx", "JavaScript JSX", 32, 0, 0, 2, 3, 37
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\login\components\LoginForm.jsx", "JavaScript JSX", 123, 0, 0, 0, 14, 137
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\login\page.jsx", "JavaScript JSX", 9, 0, 0, 1, 4, 14
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\signup\components\SignupForm.jsx", "JavaScript JSX", 271, 0, 0, 10, 33, 314
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\signup\page.jsx", "JavaScript JSX", 8, 0, 0, 2, 3, 13
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\(pages2)\user\switch.jsx", "JavaScript JSX", 33, 0, 0, 3, 7, 43
"c:\Users\ascom\Desktop\Codixa_Front-main\src\app\StoreProvider.jsx", "JavaScript JSX", 15, 0, 0, 1, 5, 21
"Total", "-", 8685, 48, 15, 205, 756, 9709
